Datum;10.07.26;11.07.26;12.07.26;13.07.26;14.07.26;15.07.26;16.07.26;17.07.26
Gelände-Schlüssel 27€;3;5;4;;4;2;1;
Audiotraining 17€;;1;;;;;;
Videoreihe 27€;;2;1;;1;;;
Upsell Gelände s.m. 99€;;1;;;;;;
Bruttoumsatz;81,00;305,00;135,00;;135,00;54,00;27,00;
Verdienst;69,14;245,10;121,71;;108,28;42,80;21,49;
(netto abzgl. Gebühren);;;;;;;;
Adspend;65,52;107,28;86,53;66,00;62,66;61,50;60,89;38,84
ROAS;1,24;2,84;1,56;0,00;2,15;0,88;0,44;0,00
Warenkorb brutto;27,00;61,00;33,75;;33,75;27,00;27,00;
Einkaufspreis (CPA);21,84;21,46;21,63;;15,66;30,75;60,89;
Gewinn;3,62;137,82;35,18;-66,00;45,62;-18,70;-39,40;-38,84
Breakeven (CPA);23,05;49,02;30,43;;27,07;21,40;21,49;
Salespage Besucher;40;72;77;51;44;52;52;29
Salespage Conversion;7,50%;6,94%;5,19%;0,00%;9,09%;3,85%;1,92%;0,00%
  (Kontrolle: Meta LPV);16;51;56;28;19;37;18;17
