Datum;10.07.26;11.07.26;12.07.26;13.07.26;14.07.26;15.07.26;16.07.26;17.07.26;18.07.26;19.07.26;20.07.26;21.07.26;22.07.26;23.07.26;24.07.26;25.07.26;26.07.26;27.07.26;28.07.26;29.07.26;30.07.26;31.07.26;01.08.26;02.08.26;03.08.26
Gelände-Schlüssel 27€;3;5;4;;4;2;1;;7;5;5;;9;2;5;5;7;6;3;4;2;2;5;3;1
Audiotraining 17€;;1;;;;;;;2;;;;1;1;;1;;;;1;;;;;
Videoreihe 27€;;2;1;;1;;;;2;1;1;;1;1;;;1;1;;2;1;;;;
Upsell Gelände s.m. 99€;;1;;;;;;;;1;;;;;;;;2;;;;;;1;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;;;;1;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttoumsatz;81,00;305,00;135,00;;135,00;54,00;27,00;;277,00;261,00;162,00;;287,00;98,00;135,00;152,00;216,00;484,00;81,00;179,00;81,00;54,00;135,00;180,00;27,00
Verdienst;69,14;245,10;121,71;;108,28;42,80;21,49;;223,19;214,23;138,74;;243,16;78,93;107,62;121,02;178,11;391,58;64,83;143,87;65,48;42,99;107,62;164,83;21,49
Gesamtumsatz organisch;;;;;;;;;;27,00;27,00;81,00;81,00;27,00;27,00;27,00;54,00;27,00;;27,00;27,00;;27,00;;
Adspend;65,52;107,28;86,53;66,00;62,66;61,50;60,91;57,41;111,13;84,61;85,87;83,95;104,02;88,83;28,15;58,11;80,68;89,49;91,78;79,40;163,32;122,84;48,79;72,54;36,29
ROAS;1,24;2,84;1,56;0,00;2,15;0,88;0,44;0,00;2,49;3,08;1,89;0,00;2,76;1,10;4,80;2,62;2,68;5,41;0,88;2,25;0,50;0,44;2,77;2,48;0,74
Warenkorb brutto;27,00;61,00;33,75;;33,75;27,00;27,00;;39,57;52,20;32,40;;31,89;49,00;27,00;30,40;30,86;80,67;27,00;44,75;40,50;27,00;27,00;60,00;27,00
Einkaufspreis (CPA);21,84;21,46;21,63;;15,66;30,75;60,91;;15,88;16,92;17,17;;11,56;44,42;5,63;11,62;11,53;14,92;30,59;19,85;81,66;61,42;9,76;24,18;36,29
Gewinn;3,62;137,82;35,18;-66,00;45,62;-18,70;-39,42;-57,41;112,06;129,62;52,87;-83,95;139,14;-9,90;79,47;62,91;97,43;302,09;-26,95;64,47;-97,84;-79,85;58,83;92,29;-14,80
Breakeven (CPA);23,05;49,02;30,43;;27,07;21,40;21,49;;31,88;42,85;27,75;;27,02;39,47;21,52;24,20;25,44;65,26;21,61;35,97;32,74;21,49;21,52;54,94;21,49
Salespage Besucher;40;72;77;51;44;52;52;72;77;48;61;57;165;141;113;214;363;405;454;363;232;270;218;283;
Salespage Conversion;7,50%;6,94%;5,19%;0,00%;9,09%;3,85%;1,92%;0,00%;9,09%;10,42%;8,20%;0,00%;5,45%;1,42%;4,42%;2,34%;1,93%;1,48%;0,66%;1,10%;0,86%;0,74%;2,29%;1,06%;
  (Kontrolle: Meta LPV);16;51;56;28;19;37;18;28;34;37;40;39;84;82;72;141;265;235;284;237;156;194;137;175;77
