Datum;14.07.26;15.07.26;16.07.26;17.07.26;18.07.26
Gelände-Schlüssel 27€;4;2;1;;3
Audiotraining 17€;;;;;2
Videoreihe 27€;1;;;;2
Upsell Gelände s.m. 99€;;;;;
Bruttoumsatz;135,00;54,00;27,00;;169,00
Verdienst;108,28;42,80;21,49;;136,87
(netto abzgl. Gebühren);;;;;
Adspend;62,66;61,50;60,91;57,41;75,12
ROAS;2,15;0,88;0,44;0,00;2,25
Warenkorb brutto;33,75;27,00;27,00;;56,33
Einkaufspreis (CPA);15,66;30,75;60,91;;25,04
Gewinn;45,62;-18,70;-39,42;-57,41;61,75
Breakeven (CPA);27,07;21,40;21,49;;45,62
Salespage Besucher;44;52;52;29;
Salespage Conversion;9,09%;3,85%;1,92%;0,00%;
  (Kontrolle: Meta LPV);19;37;18;28;22
