Datum;01.08.26;02.08.26;03.08.26
Gelände-Schlüssel 27€;5;3;1
Audiotraining 17€;;;
Videoreihe 27€;;;
Upsell Gelände s.m. 99€;;1;
Upsell Kopfkino 97€;;;
Upsell Handarbeit 197€;;;
Upsell Offenstallplaner 47€;;;
Bruttoumsatz;135,00;180,00;27,00
Verdienst;107,62;164,83;21,49
Gesamtumsatz organisch;27,00;;
Adspend;48,79;72,54;32,85
ROAS;2,77;2,48;0,82
Warenkorb brutto;27,00;60,00;27,00
Einkaufspreis (CPA);9,76;24,18;32,85
Gewinn;58,83;92,29;-11,36
Breakeven (CPA);21,52;54,94;21,49
Salespage Besucher;;;
Salespage Conversion;;;
  (Kontrolle: Meta LPV);137;175;65
