Datum;04.08.26;05.08.26;06.08.26;07.08.26;08.08.26;09.08.26;10.08.26;11.08.26;12.08.26;13.08.26;14.08.26;15.08.26;16.08.26;17.08.26;18.08.26;19.08.26;20.08.26;21.08.26;22.08.26;23.08.26;24.08.26;25.08.26;26.08.26;27.08.26;28.08.26;29.08.26;30.08.26;31.08.26
Gelände-Schlüssel 27€;3;3;3;3;1;3;;3;;;6;2;3;2;1;;2;;2;1;;4;3;1;5;;1;
Audiotraining 17€;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Videoreihe 27€;2;1;1;;;;;1;;;;;;;;;;;;1;;2;;;1;;;
Upsell Gelände s.m. 99€;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttoumsatz;152,00;108,00;108,00;81,00;27,00;81,00;;108,00;;;162,00;54,00;81,00;54,00;27,00;;54,00;;54,00;54,00;;162,00;81,00;27,00;162,00;;27,00;
Verdienst;122,64;86,36;90,67;65,17;21,49;68,92;;90,48;;;133,61;47,30;64,48;42,99;21,84;;42,99;;42,80;43,38;;131,31;64,64;21,49;130,47;;21,49;
Gesamtumsatz organisch;;54,00;27,00;;27,00;;;27,00;27,00;108,00;27,00;27,00;;;27,00;;;;;;27,00;;27,00;27,00;;;;27,00
Adspend;56,75;48,66;48,63;48,58;45,15;57,65;48,38;46,16;43,26;49,96;48,95;44,09;59,41;56,14;47,19;34,49;31,46;27,67;26,16;32,95;30,94;31,51;26,95;25,12;34,28;34,88;40,48;24,63
ROAS;2,68;2,22;2,22;1,67;0,60;1,41;0,00;2,34;0,00;0,00;3,31;1,22;1,36;0,96;0,57;0,00;1,72;0,00;2,06;1,64;0,00;5,14;3,01;1,07;4,73;0,00;0,67;0,00
Warenkorb brutto;50,67;36,00;36,00;27,00;27,00;27,00;;36,00;;;27,00;27,00;27,00;27,00;27,00;;27,00;;27,00;54,00;;40,50;27,00;27,00;32,40;;27,00;
Einkaufspreis (CPA);18,92;16,22;16,21;16,19;45,15;19,22;;15,39;;;8,16;22,04;19,80;28,07;47,19;;15,73;;13,08;32,95;;7,88;8,98;25,12;6,86;;40,48;
Gewinn;65,89;37,70;42,04;16,59;-23,66;11,27;-48,38;44,32;-43,26;-49,96;84,66;3,21;5,07;-13,15;-25,35;-34,49;11,53;-27,67;16,64;10,43;-30,94;99,80;37,69;-3,63;96,19;-34,88;-18,99;-24,63
Breakeven (CPA);40,88;28,79;30,22;21,72;21,49;22,97;;30,16;;;22,27;23,65;21,49;21,49;21,84;;21,49;;21,40;43,38;;32,83;21,55;21,49;26,09;;21,49;
Salespage Besucher;232;171;179;182;140;163;133;132;128;128;100;101;135;121;102;65;57;66;70;62;99;75;56;57;67;74;64;
Salespage Conversion;1,29%;1,75%;1,68%;1,65%;0,71%;1,84%;0,00%;2,27%;0,00%;0,00%;6,00%;1,98%;2,22%;1,65%;0,98%;0,00%;3,51%;0,00%;2,86%;1,61%;0,00%;5,33%;5,36%;1,75%;7,46%;0,00%;1,56%;
  (Kontrolle: Meta LPV);129;110;111;105;93;108;94;85;88;79;83;64;97;69;77;45;33;41;45;34;58;45;34;37;45;51;48;38
