Datum;10.09.26;11.09.26;12.09.26;13.09.26;14.09.26;15.09.26;16.09.26;17.09.26;18.09.26
Gelände-Schlüssel 27€;2;1;2;2;2;1;1;;
Audiotraining 17€;;1;;;;;1;;
Videoreihe 27€;1;;1;;1;;1;;
Upsell Gelände s.m. 99€;;;;;;;;;
Upsell Kopfkino 97€;;;;;;;;;
Upsell Handarbeit 197€;;;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;;;
Bruttoumsatz;81,00;44,00;81,00;54,00;81,00;27,00;71,00;;
Verdienst;65,26;35,27;64,87;47,30;64,87;21,49;57,16;;
Gesamtumsatz organisch;27,00;;;;71,00;;98,00;;
Adspend;24,47;24,85;20,91;42,04;32,55;35,71;52,47;53,12;10,67
ROAS;3,31;1,77;3,87;1,28;2,49;0,76;1,35;0,00;0,00
Warenkorb brutto;40,50;44,00;40,50;27,00;40,50;27,00;71,00;;
Einkaufspreis (CPA);12,24;24,85;10,46;21,02;16,28;35,71;52,47;;
Gewinn;40,79;10,42;43,96;5,26;32,32;-14,22;4,69;-53,12;-10,67
Breakeven (CPA);32,63;35,27;32,43;23,65;32,43;21,49;57,16;;
Salespage Besucher;;;;;;;;;
Salespage Conversion;;;;;;;;;
Checkout Aufrufe;10;11;4;3;10;6;9;8;0
Checkout Conversion;30,00%;9,09%;50,00%;66,67%;30,00%;16,67%;33,33%;0,00%;
  (Kontrolle: Meta LPV);39;41;32;83;57;33;61;77;9
