Datum;13.09.26;14.09.26;15.09.26;16.09.26;17.09.26;18.09.26;19.09.26
Gelände-Schlüssel 27€;2;2;1;1;;1;
Audiotraining 17€;;;;1;;;
Videoreihe 27€;;1;;1;;;
Upsell Gelände s.m. 99€;;;;;;;
Upsell Kopfkino 97€;;;;;;;
Upsell Handarbeit 197€;;;;;;;
Upsell Offenstallplaner 47€;;;;;;;
Bruttoumsatz;54,00;81,00;27,00;71,00;;27,00;
Verdienst;47,30;64,87;21,49;57,16;;21,49;
Gesamtumsatz organisch;;71,00;;98,00;;27,00;
Adspend;42,04;32,55;35,71;52,47;53,14;43,18;40,70
ROAS;1,28;2,49;0,76;1,35;0,00;0,63;0,00
Warenkorb brutto;27,00;40,50;27,00;71,00;;27,00;
Einkaufspreis (CPA);21,02;16,28;35,71;52,47;;43,18;
Gewinn;5,26;32,32;-14,22;4,69;-53,14;-21,69;-40,70
Breakeven (CPA);23,65;32,43;21,49;57,16;;21,49;
Salespage Besucher;;;;;;;
Salespage Conversion;;;;;;;
Checkout Aufrufe;3;10;6;9;8;7;1
Checkout Conversion;66,67%;30,00%;16,67%;33,33%;0,00%;28,57%;0,00%
  (Kontrolle: Meta LPV);83;57;33;61;77;52;47
